model,task_id,rollout_id,step,group_id,candidate_id,domain,invalid_outputs,invalid_provenance,rollout_invalid_outputs,stage,group_position,gold_count,unique_gold_A,completion_length,raw_n,grounded_n,coverage,s_cot,s_explore,dsr_branch,primary_reward,closed,raw_invalid_text
dsr,dsr:13:0:2,13,24,f21147ce011ded372ed23ff948c8c9febbcf04908ad9980bf7326a7a79b4d75a,2,ad,,unavailable:not_persisted_per_task,1,0-50,0,2,2,,,,,,,,,,
dsr,dsr:13:0:3,13,24,f21147ce011ded372ed23ff948c8c9febbcf04908ad9980bf7326a7a79b4d75a,3,ad,,unavailable:not_persisted_per_task,1,0-50,0,2,2,,,,,,,,,,
dsr,dsr:13:1:0,13,24,df56d595895f9d5702ca94a412652e644a2bb90b0068a8231c515b134347ea92,0,video,,unavailable:not_persisted_per_task,1,0-50,1,20,19,,,,,,,,,,
dsr,dsr:13:1:1,13,24,df56d595895f9d5702ca94a412652e644a2bb90b0068a8231c515b134347ea92,1,video,,unavailable:not_persisted_per_task,1,0-50,1,20,19,,,,,,,,,,
dsr,dsr:13:1:2,13,24,df56d595895f9d5702ca94a412652e644a2bb90b0068a8231c515b134347ea92,2,video,,unavailable:not_persisted_per_task,1,0-50,1,20,19,,,,,,,,,,
dsr,dsr:13:1:3,13,24,df56d595895f9d5702ca94a412652e644a2bb90b0068a8231c515b134347ea92,3,video,,unavailable:not_persisted_per_task,1,0-50,1,20,19,,,,,,,,,,
dsr,dsr:13:2:0,13,24,436ed21d23aa661c1944735d274c6a54512342a0b7167d270d3fba814174646a,0,video,,unavailable:not_persisted_per_task,1,0-50,2,20,15,,,,,,,,,,
dsr,dsr:13:2:1,13,24,436ed21d23aa661c1944735d274c6a54512342a0b7167d270d3fba814174646a,1,video,,unavailable:not_persisted_per_task,1,0-50,2,20,15,,,,,,,,,,
dsr,dsr:13:2:2,13,24,436ed21d23aa661c1944735d274c6a54512342a0b7167d270d3fba814174646a,2,video,,unavailable:not_persisted_per_task,1,0-50,2,20,15,,,,,,,,,,
dsr,dsr:13:2:3,13,24,436ed21d23aa661c1944735d274c6a54512342a0b7167d270d3fba814174646a,3,video,,unavailable:not_persisted_per_task,1,0-50,2,20,15,,,,,,,,,,
dsr,dsr:13:3:0,13,24,8c038e56a8d3589fb089fc68fe8ce98c479413dc9adbfa347b8f65bd4ce0f042,0,living,,unavailable:not_persisted_per_task,1,0-50,3,2,2,,,,,,,,,,
dsr,dsr:13:3:1,13,24,8c038e56a8d3589fb089fc68fe8ce98c479413dc9adbfa347b8f65bd4ce0f042,1,living,,unavailable:not_persisted_per_task,1,0-50,3,2,2,,,,,,,,,,
dsr,dsr:13:3:2,13,24,8c038e56a8d3589fb089fc68fe8ce98c479413dc9adbfa347b8f65bd4ce0f042,2,living,,unavailable:not_persisted_per_task,1,0-50,3,2,2,,,,,,,,,,
dsr,dsr:13:3:3,13,24,8c038e56a8d3589fb089fc68fe8ce98c479413dc9adbfa347b8f65bd4ce0f042,3,living,,unavailable:not_persisted_per_task,1,0-50,3,2,2,,,,,,,,,,
dsr,dsr:14:0:0,14,26,768f6c067ee824c6e2daa1bf3effcd87467620dd605dd26904dba5d201bb29ff,0,video,,unavailable:not_persisted_per_task,0,0-50,0,16,11,,3,3,1.0,1.0,0.4220795031546438,,,,
dsr,dsr:14:0:1,14,26,768f6c067ee824c6e2daa1bf3effcd87467620dd605dd26904dba5d201bb29ff,1,video,,unavailable:not_persisted_per_task,0,0-50,0,16,11,,4,4,1.0,1.0,0.43719860379829784,,,,
dsr,dsr:14:0:2,14,26,768f6c067ee824c6e2daa1bf3effcd87467620dd605dd26904dba5d201bb29ff,2,video,,unavailable:not_persisted_per_task,0,0-50,0,16,11,,,,,,,,,,
dsr,dsr:14:0:3,14,26,768f6c067ee824c6e2daa1bf3effcd87467620dd605dd26904dba5d201bb29ff,3,video,,unavailable:not_persisted_per_task,0,0-50,0,16,11,,,,,,,,,,
dsr,dsr:14:1:0,14,26,1f241d4a7631596056603f82d36bd1eb40232de9633cb36529f575a70b06c67d,0,ad,,unavailable:not_persisted_per_task,0,0-50,1,2,2,,,,,,,,,,
dsr,dsr:14:1:1,14,26,1f241d4a7631596056603f82d36bd1eb40232de9633cb36529f575a70b06c67d,1,ad,,unavailable:not_persisted_per_task,0,0-50,1,2,2,,,,,,,,,,
