group_id,step,domain,gold_count,unique_gold_A,baseline_A_concentration,dsr_A_concentration,baseline_Gold_A_hit,dsr_Gold_A_hit,rescue_active,classification,stage,gold_count_bin,unique_gold_A_bin,baseline_zero_std,baseline_all_zero,baseline_Gold_AB_hit,baseline_Exact_hit,baseline_reward_mean,dsr_zero_std,dsr_all_zero,dsr_Gold_AB_hit,dsr_Exact_hit,dsr_reward_mean,lambda_A,K_A_concentration,frequency_weights,coefficient,matched_direct_provenance,baseline_rollout_reward_mean,dsr_rollout_reward_mean
b26427cac5596811541b97f1edbcf69f9a5417556ebcbafad7486cd8c55a8e5e,70,video,12,10,,0.25,,,False,,50-100,5+,3+,,,,,,,,,,,0.2,0.25,"[0.25,0.125,0.125,0.125,0.125,0.125,0.125,0.25]",0.0,unavailable:baseline_group_outputs_not_persisted,0.015625,-0.015625
b5bcc2d9e959fc4448cccbb2e31d1431b1a3959c3448f18265fda3f713cd8344,70,ad,3,3,,0.375,,,False,,50-100,3-4,3+,,,,,,,,,,,0.2,0.375,"[0.125,0.125,0.375,0.125,0.125,0.375,0.375,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.015625,-0.015625
54e17ccf183d3b93b60a98bb05409ca1034c82137aa40d1e0f88e42abd197834,76,ad,2,2,,0.375,,,False,,50-100,1-2,2,,,,,,,,,,,0.1,0.375,"[0.125,0.375,0.375,0.125,0.125,0.125,0.375,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.796875,0.640625
971a74d7b029c7239e78a3616dce4a3f87148de1a06572dc3d7f746237aa899e,76,ad,2,2,,0.375,,,False,,50-100,1-2,2,,,,,,,,,,,0.1,0.375,"[0.125,0.375,0.375,0.375,0.375,0.375,0.125,0.375]",0.0,unavailable:baseline_group_outputs_not_persisted,0.796875,0.640625
e9ac0fcfff95f5229787ee4666e611a8405cd3f1e4b1079e19ec138122104909,78,ad,4,3,0.375,0.625,True,True,False,,50-100,3-4,3+,False,False,False,False,0.09375,False,False,False,False,0.3125,0.2,0.625,"[0.625,0.125,0.625,0.125,0.625,0.625,0.125,0.625]",0.0,observed_directly:trace_every20,0.0,0.15625
c765a7392fced4fd475192d07312352f6e4537babe9306a653ed8d61b66e34a5,78,video,15,15,,0.125,,,False,,50-100,5+,3+,,,,,,,,,,,0.2,0.125,"[0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.0,0.15625
4449170b272f400eb1fc0bd5f1afd2911ac9bcfcd7d0cc7d49ddc3fb13d413e3,80,prod,2,2,,0.125,,,False,,50-100,1-2,2,,,,,,,,,,,0.1,0.125,"[0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.046875,0.0625
f5953a468618a9d3da7122971e816da8ad9a9be8913c727272c2bde259df7c03,80,prod,2,2,,0.5,,,False,,50-100,1-2,2,,,,,,,,,,,0.1,0.5,"[0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.5]",0.0,unavailable:baseline_group_outputs_not_persisted,0.046875,0.0625
0eddc931ff5609d00efbc1357da1c62d44400ab7df83cfde0c20b8edd9c630c3,82,living,2,2,,0.25,,,False,,50-100,1-2,2,,,,,,,,,,,0.1,0.25,"[0.25,0.25,0.25,0.125,0.125,0.25,0.25,0.25]",0.0,unavailable:baseline_group_outputs_not_persisted,-0.0625,0.046875
049a591648d54ec93e7877a7b20f5314eeec0da2993646419239308d0f41f65c,82,living,2,1,,0.25,,,False,,50-100,1-2,1,,,,,,,,,,,0.1,0.25,"[0.125,0.125,0.25,0.125,0.125,0.125,0.25,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,-0.0625,0.046875
