group_id,route,domain,gold_count,unique_gold_A,step,order,gold_count_bin,unique_gold_A_bin,stage,group_position,baseline_primary_reward_mean,baseline_primary_reward_std,baseline_zero_std,baseline_all_zero,baseline_Exact,baseline_AB,baseline_A,baseline_Beam_invalid,dsr_primary_reward_mean,dsr_primary_reward_std,dsr_zero_std,dsr_all_zero,dsr_Exact,dsr_AB,dsr_A,dsr_Beam_invalid,baseline_rollout_reward_mean,baseline_rollout_reward_std,baseline_rollout_zero_std_ratio,baseline_rollout_invalid_outputs,dsr_rollout_reward_mean,dsr_rollout_reward_std,dsr_rollout_zero_std_ratio,dsr_rollout_invalid_outputs,direct_group_provenance,Raw_N,Grounded_N,Coverage,Raw_Grounded_gap,D_cot,S_cot,S_prefix,S_explore,S_dead,S_aux,A_aux,DSR_branch,think_candidate_coverage_provenance,A_concentration,Gold_A_hit,Gold_AB_hit,Exact_hit,rescue_active,lambda_A,K_A_concentration,frequency_weights,rescue_coefficient
df56d595895f9d5702ca94a412652e644a2bb90b0068a8231c515b134347ea92,think,video,20,19,24,13,5+,3+,0-50,1,,,,,,,,,,,,,,,,,7.72119140625,1.281449556350708,0.25,0,6.623046875,0.4296875,0.75,1,unavailable:only_rollout_aggregate,,,,,,,,,,,,,unavailable,,,,,,,,,
436ed21d23aa661c1944735d274c6a54512342a0b7167d270d3fba814174646a,think,video,20,15,24,13,5+,3+,0-50,2,,,,,,,,,,,,,,,,,7.72119140625,1.281449556350708,0.25,0,6.623046875,0.4296875,0.75,1,unavailable:only_rollout_aggregate,,,,,,,,,,,,,unavailable,,,,,,,,,
8c038e56a8d3589fb089fc68fe8ce98c479413dc9adbfa347b8f65bd4ce0f042,think,living,2,2,24,13,1-2,2,0-50,3,,,,,,,,,,,,,,,,,7.72119140625,1.281449556350708,0.25,0,6.623046875,0.4296875,0.75,1,unavailable:only_rollout_aggregate,,,,,,,,,,,,,unavailable,,,,,,,,,
768f6c067ee824c6e2daa1bf3effcd87467620dd605dd26904dba5d201bb29ff,think,video,16,11,26,14,5+,3+,0-50,0,,,,,,,,,,,,,,,,,3.625,0.3788861036300659,0.5,0,3.46875,0.6148184537887573,0.25,0,unavailable:only_rollout_aggregate,3.5,3.5,1.0,0.0,1.0,1.0,0.05582597447078726,0.4296390534764708,0.4296390534764708,1.0,0.5772169828414917,,observed_directly:dsr_trace_first2,,,,,,,,,
1f241d4a7631596056603f82d36bd1eb40232de9633cb36529f575a70b06c67d,think,ad,2,2,26,14,1-2,2,0-50,1,,,,,,,,,,,,,,,,,3.625,0.3788861036300659,0.5,0,3.46875,0.6148184537887573,0.25,0,unavailable:only_rollout_aggregate,,,,,,,,,,,,,unavailable,,,,,,,,,
c1f50ad9c92dd5172e5ef8df6a294700caae29058fc66ff438dcddb87b14d178,think,living,2,2,26,14,1-2,2,0-50,2,,,,,,,,,,,,,,,,,3.625,0.3788861036300659,0.5,0,3.46875,0.6148184537887573,0.25,0,unavailable:only_rollout_aggregate,,,,,,,,,,,,,unavailable,,,,,,,,,
32f1216d748636d8d03dfb2f7a1bdbba4b2c7175e9a61255cb60f4447d0719e9,think,living,2,2,26,14,1-2,2,0-50,3,,,,,,,,,,,,,,,,,3.625,0.3788861036300659,0.5,0,3.46875,0.6148184537887573,0.25,0,unavailable:only_rollout_aggregate,,,,,,,,,,,,,unavailable,,,,,,,,,
f21147ce011ded372ed23ff948c8c9febbcf04908ad9980bf7326a7a79b4d75a,no_think,ad,2,2,28,15,1-2,2,0-50,0,,,,,,,,,,,,,,,,,0.046875,0.18154609203338623,0.0,,0.0625,0.1751573234796524,0.0,,unavailable:only_rollout_aggregate,,,,,,,,,,,,,,0.375,,,,False,0.1,0.375,"[0.375,0.125,0.375,0.25,0.375,0.25,0.25,0.25]",0.0
df56d595895f9d5702ca94a412652e644a2bb90b0068a8231c515b134347ea92,no_think,video,20,19,28,15,5+,3+,0-50,1,,,,,,,,,,,,,,,,,0.046875,0.18154609203338623,0.0,,0.0625,0.1751573234796524,0.0,,unavailable:only_rollout_aggregate,,,,,,,,,,,,,,0.25,,,,False,0.2,0.25,"[0.125,0.125,0.25,0.25,0.125,0.125,0.125,0.125]",0.0
436ed21d23aa661c1944735d274c6a54512342a0b7167d270d3fba814174646a,no_think,video,20,15,30,16,5+,3+,0-50,0,,,,,,,,,,,,,,,,,0.0625,0.1751573234796524,0.0,,0.140625,0.2539934813976288,0.0,,unavailable:only_rollout_aggregate,,,,,,,,,,,,,,0.25,,,,False,0.2,0.25,"[0.125,0.125,0.125,0.25,0.25,0.125,0.125,0.125]",0.0
