source,route,domain,gold_count,reward_pattern,rewards,current_adv,exact_floor_adv,exact_clamp_adv,current_abs_sum,floor_abs_sum,clamp_abs_sum
GR_REC_v1_probe,nothink,prod,2,SINGLE_EXACT,"[0.0,0.0,0.0,8.0,0.0,0.0,0.5,0.0]","[-0.4044027651232127,-0.4044027651232127,-0.4044027651232127,2.640512172275095,-0.4044027651232127,-0.4044027651232127,-0.2140955815358185,-0.4044027651232127]","[-0.1328125,-0.1328125,-0.1328125,0.8671875,-0.1328125,-0.1328125,-0.0703125,-0.1328125]","[-0.1328125,-0.1328125,-0.1328125,0.8671875,-0.1328125,-0.1328125,-0.0703125,-0.1328125]",5.28102434455019,1.734375,1.734375
GR_REC_v1_probe,think,ad,2,A_ONLY,"[0.5,0.0,0.0,0.0]","[1.7312511769024619,-0.577083725634154,-0.577083725634154,-0.577083725634154]","[0.046875,-0.015625,-0.015625,-0.015625]","[0.046875,-0.015625,-0.015625,-0.015625]",3.462502353804924,0.09375,0.09375
GR_REC_v1_probe,nothink,ad,2,ALL_ZERO,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,0.0
GR_REC_v1_probe,think,video,20,MIXED_HIGH,"[9.21875,8.4375,8.375,8.4375]","[1.7268996489636286,-0.5158271678722527,-0.6952453132191232,-0.5158271678722527]","[0.15234375,0.0546875,0.046875,0.0546875]","[0.0751953125,0.0,0.0,0.0]",3.453799297927257,0.30859375,0.0751953125
GR_REC_v1_probe,nothink,video,20,AB_SIGNAL,"[0.0,0.5,0.0,0.0,2.0,0.5,0.0,0.5]","[-0.6896217739910415,0.09851739628443451,-0.6896217739910415,-0.6896217739910415,2.4629349071108626,0.09851739628443451,-0.6896217739910415,0.09851739628443451]","[-0.0546875,0.0078125,-0.0546875,-0.0546875,0.1953125,0.0078125,-0.0546875,0.0078125]","[-0.0546875,0.0078125,-0.0546875,-0.0546875,0.1953125,0.0078125,-0.0546875,0.0078125]",5.516974191928333,0.4375,0.4375
GR_REC_v1_probe,think,living,2,ALL_ZERO,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0
GR_REC_v1_probe,nothink,living,2,ALL_ZERO,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,0.0
GR_REC_v1_probe,think,prod,2,MIXED_HIGH,"[8.0,8.25,8.25,8.25]","[-1.730452284221493,0.5768174280738311,0.5768174280738311,0.5768174280738311]","[0.0,0.03125,0.03125,0.03125]","[0.0,0.0078125,0.0078125,0.0078125]",3.4609045684429867,0.09375,0.0234375
GR_REC_v1_probe,nothink,prod,2,ALL_ZERO,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,0.0
GR_REC_v1_probe,think,ad,2,ALL_ZERO,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0
